	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
 0	1	1	1	-	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	
 1	1	1	1	-	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	
 2	1	1	1	-	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	
 3	1	1	1	-	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	
 4	1	1	1	-	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	
 5	1	1	0	-	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	
 6	1	1	1	-	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	
 7	1	1	0	-	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	
 8	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	
 9	0	1	0	-	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	
 10	1	1	1	-	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	
 11	1	1	1	-	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	
 12	0	0	0	-	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	
 13	1	1	1	-	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	
 14	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
 15	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
 16	1	1	0	-	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	
 17	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
 18	0	0	0	-	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
 19	1	1	0	-	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	
